RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0100500,LOC_Os01g01040,mestome sheath,Leaf,P0402A09.1,PCMDB
Os01g0100700,LOC_Os01g01060,leaf mesophyll,Leaf,RPS5,PCMDB
Os01g0100900,LOC_Os01g01080,"leaf mesophyll,leaf procambium",Leaf,SPL,PCMDB
Os01g0102300,LOC_Os01g01280,"leaf mesophyll,leaf procambium",Leaf,OsTLP27,PCMDB
Os01g0102500,LOC_Os01g01295,"leaf mesophyll,leaf procambium",Leaf,P0402A09.23,PCMDB
Os01g0102600,LOC_Os01g01302,"leaf mesophyll,leaf procambium",Leaf,OsSK4,PCMDB
Os01g0102700,LOC_Os01g01307,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0102700,PCMDB
Os01g0102900,LOC_Os01g01340,"leaf mesophyll,Mesophyll precursor",Leaf,LIR1,PCMDB
Os01g0103000,LOC_Os01g01350,leaf mesophyll,Leaf,P0455C04.24,PCMDB
Os01g0103600,LOC_Os01g01369,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0103600,PCMDB
Os01g0104400,LOC_Os01g01450,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0104400,PCMDB
Os01g0105800,LOC_Os01g01610,leaf mesophyll,Leaf,OsISC9,PCMDB
Os01g0105900,LOC_Os01g01620,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0105900,PCMDB
Os01g0106200,LOC_Os01g01640,leaf mesophyll,Leaf,Os01g0106200,PCMDB
Os01g0106300,LOC_Os01g01650,leaf epidermis,Leaf,Os01g0106300,PCMDB
Os01g0106400,LOC_Os01g01660,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0106400,PCMDB
Os01g0106800,LOC_Os01g01700,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsRBX1b,PCMDB
Os01g0106900,LOC_Os01g01710,leaf mesophyll,Leaf,OsDXR,PCMDB
Os01g0108600,LOC_Os01g01870,"mestome sheath,leaf procambium",Leaf,P0482C06.23-1,PCMDB
Os01g0109750,LOC_Os01g01970,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0109750,PCMDB
Os01g0110200,LOC_Os01g02010,"leaf mesophyll,mestome sheath,leaf procambium,Xylem",Leaf,OsAGP12,PCMDB
Os01g0110400,LOC_Os01g02020,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0110400,PCMDB
Os01g0111800,LOC_Os01g02139,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0111800,PCMDB
Os01g0111900,LOC_Os01g02150,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,SIP34,PCMDB
Os01g0112500,LOC_Os01g02200,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0112500,PCMDB
Os01g0113200,LOC_Os01g02290,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsRLCK2,PCMDB
Os01g0113300,LOC_Os01g02300,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsRLCK3,PCMDB
Os01g0113600,LOC_Os01g02334,leaf epidermis,Leaf,Os01g0113600,PCMDB
Os01g0113700,LOC_Os01g02350,"leaf mesophyll,leaf procambium",Leaf,Os01g0113700,PCMDB
Os01g0114100,LOC_Os01g02390,"leaf mesophyll,mestome sheath",Leaf,OsRLCK5,PCMDB
Os01g0115600,LOC_Os01g02560,flag leaf,Leaf,OsRLCK11,PCMDB
Os01g0115700,LOC_Os01g02570,vascular leaf,Leaf,Os01g0115700,PCMDB
Os01g0117200,LOC_Os01g02780,vascular leaf,Leaf,OsRLCK16,PCMDB
Os01g0117900,LOC_Os01g02870,leaf mesophyll,Leaf,OsUMAMIT1,PCMDB
Os01g0118000,LOC_Os01g02880,leaf epidermis,Leaf,Os01g0118000,PCMDB
Os01g0118400,LOC_Os01g02900,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0118400,PCMDB
Os01g0118700,LOC_Os01g02920,"leaf mesophyll,leaf procambium",Leaf,Os01g0118700,PCMDB
Os01g0119000,LOC_Os01g02930,"leaf mesophyll,mestome sheath",Leaf,Os01g0119000,PCMDB
Os01g0119050,LOC_Os01g02940,leaf procambium,Leaf,Os01g0119050,PCMDB
